City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
169,clyde river,70.4692,-68.5914,-35.87,68,20,0.0,CA,1675813192
170,chuy,-33.6971,-53.4616,23.06,74,25,5.58,UY,1675812870
171,cap-aux-meules,47.3821,-61.8597,-4.97,68,20,6.17,CA,1675813192
172,nikolskoye,59.7035,30.7861,-2.06,87,99,4.51,RU,1675812922
173,omboue,-1.5746,9.2618,25.64,85,88,2.37,GA,1675813193
174,labuhan,-6.8844,112.2051,24.63,90,100,3.97,ID,1675813193
175,kazachinskoye,57.6953,93.2761,-8.08,95,100,2.41,RU,1675813193
176,uruzgan,32.8333,66.0,3.02,77,100,3.73,AF,1675813193
177,kungurtug,50.5994,97.5228,-26.07,99,29,0.77,RU,1675813194
178,rairangpur,22.2676,86.1751,16.31,37,0,1.53,IN,1675813194
179,hesla,24.0667,85.8833,15.89,47,0,1.51,IN,1675813195
180,saint-pierre,-21.3393,55.4781,25.82,73,20,3.09,RE,1675812909
181,abu samrah,35.3029,37.1841,3.51,83,58,4.66,SY,1675813195
182,disna,55.568,28.1971,-3.17,94,100,2.98,BY,1675813195
183,aldan,58.6031,125.3894,-31.4,99,100,1.4,RU,1675813196
184,panzhihua,26.5851,101.7128,7.1,60,0,0.77,CN,1675813196
185,usakos,-22.0,15.6,20.28,72,35,1.36,NA,1675813196
186,ponta do sol,32.6667,-17.1,15.56,59,17,2.62,PT,1675812910
187,okato,-39.2,173.8833,19.27,73,50,5.64,NZ,1675813197
188,luderitz,-26.6481,15.1594,18.98,81,14,8.46,NA,1675812973
189,battle creek,42.3212,-85.1797,3.16,60,100,6.69,US,1675813197
190,fortuna,40.5982,-124.1573,15.52,66,0,2.68,US,1675813197
191,mahebourg,-20.4081,57.7,26.16,83,75,7.2,MU,1675812856
192,bagan,54.1001,77.6646,-22.02,100,91,1.86,RU,1675813198
193,bayburt,40.2589,40.2278,-14.12,97,100,0.91,TR,1675813198
194,ferme-neuve,46.7001,-75.4493,0.17,96,100,5.2,CA,1675813060
195,sainte-suzanne,-20.9061,55.6089,26.12,96,75,8.23,RE,1675813198
196,khash,28.2211,61.2158,11.66,51,9,3.21,IR,1675813199
197,sistranda,63.7256,8.834,2.98,86,80,7.89,NO,1675813199
198,coxim,-18.5067,-54.76,21.68,92,100,1.46,BR,1675813199
199,ayan,56.45,138.1667,-30.59,79,24,3.7,RU,1675813200
200,caravelas,-17.7125,-39.2481,25.47,82,2,3.84,BR,1675813141
201,saveh,35.0213,50.3566,6.13,57,30,5.03,IR,1675813200
202,honiara,-9.4333,159.95,29.42,70,99,2.91,SB,1675813200
203,butaritari,3.0707,172.7902,27.27,80,100,9.84,KI,1675812833
204,potenza,40.6443,15.8086,-2.82,63,86,0.65,IT,1675813201
205,borovskoy,53.8,64.15,-19.97,100,95,3.45,KZ,1675813201
206,zinder,13.8072,8.9881,20.04,19,86,4.63,NE,1675813202
207,pamanukan,-6.2842,107.8106,24.17,93,100,2.27,ID,1675813118
208,guerrero negro,27.9769,-114.0611,22.0,20,1,1.17,MX,1675812887
209,batagay-alyta,67.8006,130.4114,-35.8,100,100,0.47,RU,1675813204
210,coahuayana,18.7333,-103.6833,26.67,66,3,2.44,MX,1675813205
211,takapau,-40.0333,176.35,23.18,54,82,4.11,NZ,1675813205
212,tafresh,34.692,50.013,-0.94,68,33,9.77,IR,1675813207
213,virginia beach,36.8529,-75.978,12.79,68,75,3.09,US,1675813133
214,lima,-12.0432,-77.0282,27.72,69,40,7.72,PE,1675812942
215,beloha,-25.1667,45.05,22.95,85,100,2.56,MG,1675813000
216,huangpu,25.4433,113.1747,12.68,95,96,1.01,CN,1675813210
217,palpa,-14.5336,-75.1856,27.21,61,42,2.69,PE,1675813211
218,humberto de campos,-2.5983,-43.4611,23.81,92,91,1.92,BR,1675813212
219,broome,42.2506,-75.833,4.83,72,100,4.63,US,1675813214
220,manicore,-5.8092,-61.3003,24.97,88,75,2.06,BR,1675813215
221,bethal,-26.4579,29.4655,16.42,98,41,2.12,ZA,1675813216
222,erzin,36.9559,36.2,1.22,61,49,2.32,TR,1675812842
223,kahului,20.8947,-156.47,26.65,76,40,9.77,US,1675813016
224,upernavik,72.7868,-56.1549,-29.67,98,73,1.32,GL,1675812793
225,findlay,41.0442,-83.6499,10.36,61,0,4.63,US,1675813216
226,peterhead,57.5058,-1.7981,1.48,86,85,5.55,GB,1675813217
227,mayo,38.8876,-76.5119,9.26,78,0,4.63,US,1675813221
228,saint leonard,47.173,-67.9247,-6.82,81,93,5.16,CA,1675812970
229,lira,2.235,32.9097,22.04,39,53,1.9,UG,1675813223
230,hoa binh,20.8133,105.3383,21.46,97,100,1.47,VN,1675812986
231,maningrida,-12.0667,134.2667,29.32,68,90,3.94,AU,1675813223
232,alamos,27.0167,-108.9333,22.84,8,10,3.45,MX,1675813224
233,udachnyy,66.4167,112.4,-41.6,100,99,1.19,RU,1675813193
234,loknya,56.83,30.1467,-3.23,91,100,3.1,RU,1675813227
235,koumac,-20.5667,164.2833,28.61,74,100,2.13,NC,1675813227
236,kismayo,-0.3582,42.5454,24.53,86,34,6.64,SO,1675813032
237,ulladulla,-35.35,150.4667,18.92,88,100,2.22,AU,1675813230
238,batagay,67.6333,134.6333,-49.53,98,46,1.19,RU,1675813231
239,madang,-5.2246,145.7966,27.73,77,93,3.92,PG,1675813232
240,narsaq,60.9167,-46.05,-19.88,66,0,3.24,GL,1675813232
241,itoman,26.1247,127.6694,20.01,86,75,3.09,JP,1675813232
242,airai,-8.9266,125.4092,19.32,83,93,1.11,TL,1675812911
243,abu dhabi,24.4667,54.3667,23.06,40,0,1.54,AE,1675813152
244,vikulovo,56.8167,70.6107,-27.86,100,91,1.85,RU,1675813233
245,carnarvon,-24.8667,113.6333,26.13,62,0,8.33,AU,1675812905
246,valleyview,55.0667,-117.2859,-0.98,55,98,3.6,CA,1675813233
247,taunggyi,20.7833,97.0333,7.1,43,0,1.51,MM,1675813234
248,lasa,46.6166,10.7002,-3.88,76,8,0.35,IT,1675813137
249,bathsheba,13.2167,-59.5167,26.34,73,40,6.69,BB,1675812831
250,hinton,53.4001,-117.5857,-0.42,97,100,1.17,CA,1675813234
251,shahdadkot,27.8477,67.9055,16.59,25,35,2.24,PK,1675813234
252,klaksvik,62.2266,-6.589,8.51,83,100,25.02,FO,1675812835
253,batuan,9.7808,124.1484,23.79,85,100,3.8,PH,1675813235
254,serenje,-13.2325,30.2352,15.74,99,98,3.34,ZM,1675813236
255,shu,43.5983,73.7614,-2.84,90,100,0.53,KZ,1675813236
256,anadyr,64.75,177.4833,-31.4,74,20,5.0,RU,1675813237
257,pangnirtung,66.1451,-65.7125,-35.0,68,0,2.57,CA,1675812846
258,oussouye,12.485,-16.5469,22.1,61,21,4.24,SN,1675812885
259,plettenberg bay,-34.0527,23.3716,19.19,87,100,1.7,ZA,1675813071
260,bismarck,46.8083,-100.7837,3.91,65,0,5.14,US,1675813112
261,lodingen,68.414,15.9951,3.97,95,99,13.56,NO,1675813244
262,kruisfontein,-34.0033,24.7314,19.38,80,100,2.19,ZA,1675812961
263,itarema,-2.9248,-39.9167,25.61,83,100,4.33,BR,1675812923
264,lorengau,-2.0226,147.2712,25.33,94,100,4.85,PG,1675812885
265,port-de-bouc,43.4,4.9833,3.2,69,0,4.12,FR,1675813129
266,requena,39.4883,-1.1004,1.96,80,99,1.93,ES,1675813246
267,alofi,-19.0595,-169.9187,25.94,94,100,3.6,NU,1675812949
268,castro,-24.7911,-50.0119,17.53,93,13,2.17,BR,1675812903
269,banda aceh,5.5577,95.3222,25.19,83,99,3.55,ID,1675813246
270,haines junction,60.7522,-137.5108,-2.03,80,67,1.03,CA,1675812971
271,husavik,66.0449,-17.3389,-4.55,66,59,4.83,IS,1675813079
272,frederico westphalen,-27.3592,-53.3944,24.62,35,24,0.89,BR,1675813247
273,rocha,-34.4833,-54.3333,21.74,76,25,3.88,UY,1675812680
274,agadez,19.75,10.25,19.14,19,100,2.26,NE,1675813247
275,kvarkeno,52.0833,59.725,-18.72,100,96,3.4,RU,1675813248
276,dubbo,-32.25,148.6167,27.07,54,0,6.17,AU,1675813017
277,san patricio,28.017,-97.5169,25.05,74,99,8.45,US,1675813119
278,severo-kurilsk,50.6789,156.125,-4.51,58,46,4.12,RU,1675812867
279,asfi,32.2994,-9.2372,13.5,77,1,5.37,MA,1675813248
280,altayskoye,51.9533,85.3325,-10.73,97,100,1.3,RU,1675813249
281,bonthe,7.5264,-12.505,24.27,76,100,1.84,SL,1675813249
282,aasiaat,68.7098,-52.8699,-30.19,95,98,1.94,GL,1675813249
283,shelburne,44.0787,-80.2041,2.42,97,95,7.24,CA,1675813250
284,chapais,49.7834,-74.8492,-6.12,95,100,4.93,CA,1675813250
285,alyangula,-13.8483,136.4192,29.61,67,100,1.73,AU,1675813250
286,ecoporanga,-18.3733,-40.8306,23.71,85,95,2.38,BR,1675813251
287,tura,25.5198,90.2201,14.52,52,25,1.7,IN,1675812993
288,krivosheino,57.3431,83.9261,-13.56,97,98,1.61,RU,1675813251
289,bhopal,23.2667,77.4,13.92,29,0,3.0,IN,1675813251
290,aden,12.7794,45.0367,24.32,70,18,4.39,YE,1675813252
291,ramjibanpur,22.8333,87.6167,17.06,63,0,2.48,IN,1675813252
292,aripuana,-9.1667,-60.6333,21.89,99,89,0.42,BR,1675813252
293,joshimath,30.5667,79.5667,1.02,40,1,4.44,IN,1675813253
294,buluang,13.3068,123.3425,24.97,84,93,1.48,PH,1675813253
295,walvis bay,-22.9575,14.5053,18.94,88,32,2.57,NA,1675812929
296,dukat,62.55,155.55,-36.57,98,97,1.64,RU,1675813253
297,saint george,37.1041,-113.5841,13.02,33,0,1.79,US,1675812648
298,sibolga,1.7427,98.7792,23.0,72,99,2.13,ID,1675813254
299,sibu,2.3,111.8167,24.17,100,20,0.0,MY,1675813254
300,brae,60.3964,-1.353,6.58,74,39,14.27,GB,1675813254
301,chokurdakh,70.6333,147.9167,-39.19,100,99,1.74,RU,1675813084
302,kloulklubed,7.0419,134.2556,26.28,75,100,7.96,PW,1675813255
303,oktyabrskoye,43.0645,44.7417,-8.92,85,100,5.0,RU,1675813255
304,fairbanks,64.8378,-147.7164,-10.43,77,40,0.0,US,1675813128
305,belmonte,-15.8631,-38.8828,25.91,78,5,4.37,BR,1675813255
306,mahon,39.8885,4.2658,10.31,87,75,8.75,ES,1675813256
307,faya,18.3851,42.4509,12.29,74,31,1.39,SA,1675813256
308,havelock,34.8791,-76.9013,13.98,71,20,3.09,US,1675813256
309,grindavik,63.8424,-22.4338,-3.03,80,75,13.89,IS,1675813180
310,kamaishi,39.2667,141.8833,2.29,80,100,3.92,JP,1675813257
311,charleston,32.7766,-79.9309,17.28,71,100,3.09,US,1675813132
312,ankang,32.68,109.0172,7.87,85,100,2.2,CN,1675813257
